"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"302";"Dill dip";"Dill dip, regular";12350210;3,12;26,9;0,143;1,92;0,114;3,1;2,05;0,017;46,89;10,414;22,113;10,617;45,78;65;0,026;0,35;9;52;98;703;0,29;69;0,034;1,86;93,1
"303";"Vegetable dip";"Vegetable dip, regular";12350250;3,12;26,9;0,143;1,92;0,114;3,1;2,05;0,017;46,89;10,414;22,113;10,617;45,78;65;0,026;0,35;9;52;98;703;0,29;69;0,034;1,86;93,1
"304";"Spinach";"Spinach, canned, cooked with oil";72125227;3,3;17,9;0,377;2,73;0,134;1,4;0,39;0,016;89,11;1,232;1,405;0,477;3,4;123;0,175;2,24;74;43;336;313;0,45;476;0,097;2,22;451,6
"305";"Caesar dressing";"Caesar dressing";83102000;3,3;15,6;0,04;2,17;0,01;1,6;2,81;0,01;34,3;13,504;32,857;8,789;57,85;48;0,01;1,08;2;19;29;1209;0,11;9;0,025;4,74;104,8
"306";"Spinach";"Spinach, canned, cooked, fat added, NS as to fat type";72125223;3,31;18,1;0,377;2,74;0,134;1,4;0,39;0,016;89,44;0,947;0,982;0,802;3,03;124;0,175;2,24;74;43;336;322;0,45;486;0,114;2,18;450,5
"307";"Spinach";"Spinach, canned, cooked with butter or margarine";72125228;3,31;18,3;0,378;2,74;0,135;1,4;0,39;0,016;89,77;0,662;0,56;1,126;2,66;124;0,175;2,23;74;43;337;332;0,45;497;0,13;2,13;449,4
"308";"Oysters";"Oysters, baked or broiled, fat added";26315120;3,34;77,5;1,048;6,81;0,086;23,5;0,77;0,02;82,37;1,842;2,145;1,069;5,72;71;3,406;5,5;22;116;187;406;46,84;13;0,036;1,45;5,5
"309";"Egg";"Egg, yolk only, cooked, NS as to fat";31111000;3,36;612;0,021;14,8;0,469;52,2;0,52;0,131;49,49;13,033;5,659;10,521;30,43;121;0,072;2,55;5;364;102;175;2,14;379;0,347;3,07;5,9
"310";"Egg";"Egg, yolk only, cooked, fat added";31111020;3,36;612;0,021;14,8;0,469;52,2;0,52;0,131;49,49;13,033;5,659;10,521;30,43;121;0,072;2,55;5;364;102;175;2,14;379;0,347;3,07;5,9
"311";"Garlic sauce";"Garlic sauce";81301000;3,36;19,2;0,108;1,4;0,042;2,3;0,15;0,024;20,41;18,92;2,764;46,24;73,05;40;0,03;0,19;4;37;62;580;0,2;616;0,126;2,1;6,5
"312";"Egg salad";"Egg salad, made with Italian dressing";32103040;3,38;232,6;0,078;10,02;0,405;24,7;3,11;0,056;72,01;4,383;3,333;3,188;12,74;42;0,014;0,99;9;139;117;456;0,84;118;0,109;1,26;11,8
"313";"Cheese";"Cheese, Swiss, reduced sodium";14109020;3,4;15,4;0,09;28,4;0,37;12,5;1,31;0,02;37,8;7,256;0,968;17,744;27,4;961;0,032;0,17;36;605;111;14;3,9;216;0,08;0,37;2,4
"314";"Cheese";"Cheese, Swiss, reduced fat";14109030;3,4;15,4;0,09;28,4;0,36;12,7;1,33;0,02;59,6;1,351;0,18;3,304;5,1;961;0,027;0,17;36;605;111;199;3,9;40;0,08;0,07;0,5
"315";"Cheese";"Cheese, Swiss, nonfat or fat free";14109040;3,4;15,4;0,09;28,4;0,36;12,7;1,33;0,02;63,6;0;0;0;0;961;0,027;0,17;36;605;111;1000;3,9;40;0,08;0,07;0,5
"316";"Spinach";"Spinach, canned, cooked, no added fat";72125213;3,4;18,4;0,388;2,81;0,138;1,4;0,4;0,016;91,78;0,013;0,211;0,081;0,5;127;0,18;2,3;76;44;346;322;0,46;490;0,1;1,94;461,6
"317";"Cheese";"Cheese, Mexican blend, reduced fat";14120020;3,41;13,5;0,06;24,69;0,3;15,5;0,56;0,03;48,2;5,02;0,75;11,58;19,4;1146;0,021;0,13;35;583;93;776;4,3;155;0,084;0,17;1,6
"318";"Salad dressing";"Salad dressing, NFS, for sandwiches";83100200;3,41;30,3;0,001;0,9;0,021;1,9;2,46;0,01;29,56;14,485;38,189;10,042;64,2;7;0,018;0,19;1;19;23;639;0,13;14;0,008;2,93;138,8
"319";"Oysters";"Oysters, baked or broiled, no added fat";26315121;3,44;79,9;1,08;7,02;0,089;24,2;0,8;0,02;85,63;0,311;0,649;0,583;2,1;73;3,51;5,66;22;119;193;419;48,26;14;0,037;1,05;1,2
"320";"Dip";"Dip, NFS";12350010;3,49;28;0,15;2,24;0,129;3,2;2,48;0,02;46,07;10,43;22,115;10,652;45,84;76;0,027;0,35;10;60;112;708;0,32;69;0,036;1,86;93,1
"321";"Ranch dip";"Ranch dip, regular";12350230;3,49;28;0,15;2,24;0,129;3,2;2,48;0,02;46,07;10,43;22,115;10,652;45,84;76;0,027;0,35;10;60;112;708;0,32;69;0,036;1,86;93,1
"322";"Cheese";"Cheese, Mozzarella, nonfat or fat free";14107060;3,5;15,4;0,12;31,7;0,3;18,9;1,48;0,02;60,2;0;0;0;0;961;0,034;0,31;33;656;106;743;3,92;127;0,08;0,14;1,6
"323";"Cheese";"Cheese, Muenster, reduced fat";14107250;3,5;15,4;0,1;24,7;0,36;14,5;3,5;0,01;50,5;5,09;0,65;10,95;17,6;529;0,031;0,41;27;468;134;600;2,81;175;0,06;0,15;1,5
"324";"Cheese";"Cheese, provolone, reduced fat";14108420;3,5;12,9;0,156;24,7;0,321;14,5;0,55;0,019;50,6;4,89;0,51;11,3;17,6;756;0,026;0,52;28;496;138;615;3,23;141;0,073;0,15;1,5
"325";"Cheese spread";"Cheese spread, cream cheese, regular";14420200;3,5;27,2;0,95;7,1;0,19;2,7;3,5;0,02;58,5;8,071;1,033;18,02;28,6;71;0,015;1,13;6;91;112;436;0,51;302;0,04;0,77;2,4
"326";"Squid";"Squid, canned";26213190;3,54;74,7;2;17,9;0,379;51,5;0;0,018;74,66;0,123;0,602;0,411;1,59;37;2,064;0,74;34;203;226;312;1,76;10;0,048;1,38;0
"327";"Onion dip";"Onion dip, regular";12350220;3,57;23,7;0,062;1,91;0,095;2,6;2,65;0,024;56,4;8,248;17,374;8,518;36,27;63;0,018;0,13;7;55;92;556;0,26;62;0,038;1,4;62,9
"328";"Egg";"Egg, yolk only, cooked, no added fat";31111010;3,58;654,2;0,022;15,81;0,5;55,8;0,56;0,14;52,16;11,703;4,191;9,522;26,46;129;0,077;2,72;5;389;109;164;2,29;380;0,332;2,57;0,7
"329";"Egg";"Egg, yolk only, raw";31110010;3,59;820,2;0,024;15,86;0,528;56;0,56;0,176;52,31;11,738;4,204;9,551;26,54;129;0,077;2,73;5;390;109;48;2,3;381;0,35;2,58;0,7
"330";"Spinach";"Spinach, raw";72125100;3,63;19,3;0,724;2,86;0,189;1;0,42;0,078;91,4;0,01;0,165;0,063;0,39;99;0,13;2,71;79;49;558;79;0,53;469;0,195;2,03;482,9
"331";"Spinach";"Spinach, for use on a sandwich";89902060;3,63;19,3;0,724;2,86;0,189;1;0,42;0,078;91,4;0,01;0,165;0,063;0,39;99;0,13;2,71;79;49;558;79;0,53;469;0,195;2,03;482,9
"332";"Fish sauce";"Fish sauce";27150210;3,64;13,2;2,313;5,06;0,057;9,1;3,64;0,012;71,07;0,002;0,003;0,003;0,01;43;0,05;0,78;175;7;288;7851;0,2;4;0,396;0;0
"333";"Cilantro";"Cilantro, raw";75109550;3,67;12,8;1,114;2,13;0,162;0,9;0,87;0,067;92,21;0,275;0,04;0,014;0,52;67;0,225;1,77;26;48;521;46;0,5;337;0,149;2,5;310
"334";"Chard";"Chard, raw";72104100;3,74;18;0,4;1,8;0,09;0,9;1,1;0,04;92,66;0,04;0,07;0,03;0,2;51;0,179;1,8;81;46;379;213;0,36;306;0,099;1,89;830
"335";"Squid";"Squid, baked or broiled, fat added";26213120;3,76;77,5;2,464;18,57;0,393;53,4;0,03;0,022;69,87;1,668;2,14;0,93;5,33;39;2,254;0,82;39;263;295;358;1,82;10;0,064;1,86;4,3
"336";"Stewed chitterlings";"Stewed chitterlings, Puerto Rican style";27462000;3,82;296,8;0,401;8,4;0,05;17;2,04;0,034;69,26;8,606;1,407;6,74;18,51;26;0,071;1,18;13;57;142;56;1,26;15;0,099;1,47;7,5
"337";"Olives";"Olives, green";75510010;3,84;14,2;0,237;1,03;0,007;0,9;0,54;0,021;75,28;11,314;1,307;2,029;15,32;52;0,12;0,49;11;4;42;1556;0,04;20;0,031;3,81;1,4
"338";"Cheese";"Cheese, Feta";14104400;3,88;15,4;0,991;14,21;0,844;15;0;0,154;55,22;4,623;0,591;13,3;21,49;493;0,032;0,65;19;337;62;1139;2,88;125;0,424;0,18;1,8
