"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"584";"Peanuts";"Peanuts, dry roasted, lightly salted";42111205;21,15;64,3;14,284;24,23;0,196;9,3;4,88;0,151;1,8;26,051;9,724;7,685;49,41;58;0,426;1,57;177;361;631;199;2,76;0;0,464;4,9;0
"585";"Trail mix with nuts";"Trail mix with nuts";42500100;21,18;55,8;7,506;20,06;0,304;71,4;4,1;0,192;1,97;24,866;16,774;7,288;52,82;88;1,106;3,2;205;543;649;252;3,75;0;0,42;9,89;9,9
"586";"Tahini";"Tahini";43103300;21,19;25,8;5,45;17;0,473;34,4;0,49;1,22;3,05;20,302;23,564;7,529;53,76;426;1,61;8,95;95;732;414;115;4,62;3;0,149;0,25;0
"587";"Mixed nuts";"Mixed nuts, with peanuts, unsalted";42110120;21,21;55,9;7,847;19,74;0,327;74,4;4,57;0,218;2,12;28,543;13,669;7,659;54,05;94;0,967;2,81;199;392;608;6;3,24;1;0,371;7,49;11,7
"588";"Peanuts";"Peanuts, NFS";42111000;21,26;64,6;14,355;24,35;0,197;9,3;4,9;0,152;1,81;26,181;9,773;7,723;49,66;58;0,428;1,58;178;363;634;410;2,77;0;0,466;4,93;0
"589";"Peanuts";"Peanuts, dry roasted, salted";42111200;21,26;64,6;14,355;24,35;0,197;9,3;4,9;0,152;1,81;26,181;9,773;7,723;49,66;58;0,428;1,58;178;363;634;410;2,77;0;0,466;4,93;0
"590";"Peanuts";"Peanuts, dry roasted, unsalted";42111210;21,26;64,6;14,355;24,35;0,197;9,3;4,9;0,152;1,81;26,181;9,773;7,723;49,66;58;0,428;1,58;178;363;634;6;2,77;0;0,466;4,93;0
"591";"Almonds";"Almonds, unroasted";42101000;21,55;52,1;3,618;21,15;1,138;4,1;4,35;0,205;4,41;31,551;12,329;3,802;49,93;269;1,031;3,71;270;481;733;1;3,12;0;0,137;25,63;0
"592";"Mixed seeds";"Mixed seeds";43107000;21,73;57,1;6,389;21,96;0,222;61,8;2,37;0,097;1,41;11,062;29,627;6,05;49,61;66;1,691;4,87;234;1160;834;7;5,88;0;0,628;19,72;3,2
"593";"Sweet potato";"Sweet potato, baked, peel eaten, no added fat";73402010;21,83;13,9;1,556;2,11;0,106;0,2;6,21;0,107;74,14;0,002;0,089;0,051;0,15;38;0,192;0,99;28;56;478;182;0,33;912;0,3;0,68;2,3
"594";"Nutritional powder mix";"Nutritional powder mix, light (Muscle Milk)";95202010;22;81,6;14;50;1,2;33,8;4;1;12;8,474;1,239;1,087;12;1200;1,4;12;280;700;840;250;10;1050;1,4;9,45;0,5
"595";"Nutritional powder mix";"Nutritional powder mix, protein, light, NFS";95230020;22;81,6;14;50;1,2;33,8;4;1;12;8,474;1,239;1,087;12;1200;1,4;12;280;700;840;250;10;1050;1,4;9,45;0,5
"596";"Steak sauce";"Steak sauce";74406100;22,04;11,5;0,913;1,25;0,054;0,8;9,82;0,034;71;0;0;0;0,23;19;0,189;1,37;17;33;312;1647;0,34;15;0,105;1,16;2,2
"597";"Mixed nuts";"Mixed nuts, without peanuts, salted";42110150;22,28;50,3;1,938;16,31;0,471;141,5;4,48;0,294;2,54;29,798;15,673;7,169;55,09;134;1,542;4,14;229;441;615;320;3,87;1;0,298;9,66;16,5
"598";"Peanut butter";"Peanut butter";42202000;22,3;63;13,3;22,5;0,191;4,1;10,5;0,138;1,18;25,4;12,3;10,1;51,1;49;0,42;1,73;169;339;564;429;2,54;0;0,444;9,11;0,3
"599";"Peanut butter";"Peanut butter, lower sodium";42202010;22,31;63;13,112;22,21;0,192;4,1;10,49;0,15;1,23;25,941;12,535;10,325;51,36;49;0,422;1,74;168;335;558;17;2,51;0;0,441;9,1;0,3
"600";"Sandwich spread";"Sandwich spread";81302040;22,4;14,6;0,01;0,9;0,02;1,6;15,18;0,01;40,8;7,4;20;5,1;34;14;0,01;0,2;2;26;35;1000;0,81;22;0,02;4;24,7
"601";"Coleslaw dressing";"Coleslaw dressing";83103000;22,4;14,6;0,061;0,85;0,055;4,8;21,23;0,034;39,85;7,407;19,362;5,343;34,53;9;0,018;0,33;3;42;35;850;0,16;17;0,007;3,08;66,1
"602";"Mixed nuts";"Mixed nuts, without peanuts, unsalted";42110160;22,46;50,7;1,953;16,44;0,475;142,6;4,52;0,296;2,56;30,041;15,801;7,228;55,54;135;1,555;4,17;231;445;620;7;3,9;1;0,301;9,74;16,6
"603";"Whipped topping";"Whipped topping";12220200;23,05;0;0;1,25;0;2,1;23,05;0;50,21;1,616;0,523;21,783;25,31;6;0,03;0,12;2;8;18;25;0,03;7;0;0,96;6,3
"604";"Mixed nuts";"Mixed nuts, unroasted";42110050;23,17;52,3;2,015;16,96;0,49;147,1;4,66;0,305;2,64;29,667;14,999;7,024;54,13;139;1,604;4,3;239;459;639;7;4,03;1;0,31;9,68;13,4
"605";"Honey mustard dressing";"Honey mustard dressing";83105500;23,33;20,7;0,061;0,87;0,023;5;15,84;0,039;32,64;11,458;22,839;5;40,83;12;0,018;0,29;5;22;20;512;0,14;12;0,017;3,53;70
"606";"Haupia";"Haupia";91560100;23,52;7,3;0,65;1,98;0,002;5,6;14,72;0,022;53,25;0,869;0,225;18,094;20,45;14;0,232;1,44;32;87;226;83;0,58;0;0,028;0,13;0,1
"607";"Poppy seed dressing";"Poppy seed dressing";83112950;23,73;6;0,047;0,92;0,058;1,2;23,39;0,024;38,85;8,207;17,326;6,061;33,33;59;0,035;0,25;9;49;61;933;0,25;51;0,022;2,36;50,2
"608";"Sunflower seeds";"Sunflower seeds, plain, salted";43102100;23,78;54,4;6,958;19,1;0,243;78,4;2,7;0,105;1,19;9,392;32,494;5,157;49,21;70;1,808;3,76;127;1141;840;462;5,23;0;0,794;25,79;2,7
"609";"Sunflower seeds";"Sunflower seeds, plain, unsalted";43102000;24,07;55,1;7,042;19,33;0,246;79,3;2,73;0,106;1,2;9,505;32,884;5,219;49,8;70;1,83;3,8;129;1155;850;3;5,29;0;0,804;26,1;2,7
"610";"Sunflower seeds";"Sunflower seeds, NFS";43102400;24,07;55,1;7,042;19,33;0,246;79,3;2,73;0,106;1,2;9,505;32,884;5,219;49,8;70;1,83;3,8;129;1155;850;3;5,29;0;0,804;26,1;2,7
"611";"Soyburger";"Soyburger, meatless, with cheese on bun";41901020;24,76;18,6;3,149;12,29;0,257;21,8;5,04;1,463;53,58;1,727;1,641;2,22;6,6;248;0,139;2,35;40;210;248;643;1,08;30;0,188;0,36;6,2
"612";"Palm hearts";"Palm hearts, cooked";75221160;24,8;0,2;0,828;2,62;0,166;0,7;16,61;0,044;67,61;0,937;0,861;0,765;2,73;18;0,623;1,64;10;136;1749;136;3,61;13;0,722;0,78;2,3
"613";"Miso";"Miso";41420110;25,37;72,2;0,906;12,79;0,233;7;6,2;0,098;43,02;1,118;2,884;1,025;6,01;57;0,42;2,49;48;159;210;3728;2,56;4;0,199;0,01;29,3
"614";"Sunflower seeds";"Sunflower seeds, flavored";43102300;25,92;52,6;6,723;18,45;0,235;75,7;5,55;0,101;1,15;9,075;31,395;4,983;47,56;68;1,747;3,63;123;1103;812;612;5,05;0;0,768;24,92;2,6
"615";"Bacon and cheese sandwich";"Bacon and cheese sandwich, with spread";27520120;26,13;29,7;2,872;13,7;0,315;21;5,23;0,281;38,66;4,488;3,309;7,411;17,02;718;0,075;2;29;424;218;923;1,59;123;0,132;0,62;7,5
"616";"Cheese";"Cheese, Parmesan, dry grated, reduced fat";14108015;26,2;14,8;0,139;34,8;0,197;39,2;0,78;0,038;15,7;3,923;0,693;9,305;16,5;842;0,03;2,72;37;667;392;1450;3,66;134;0,09;0,28;1
"617";"Rice";"Rice, cooked with coconut milk";58161200;26,55;6,1;1,68;3,57;0,013;8,5;3,34;0,17;51,52;0,781;0,235;15,17;17,23;19;0,25;2,34;33;103;219;182;0,78;0;0,062;0,14;0,1
"618";"Cheese sandwich";"Cheese sandwich, American cheese, on wheat bread, with butter";14640052;26,74;25,8;2,591;11,79;0,268;20,2;4,96;0,221;38,16;5,077;2,641;9,395;19,42;584;0,109;1,98;42;367;207;782;1,51;187;0,264;1,52;9,3
"619";"Cheese sandwich";"Cheese sandwich, American cheese, on whole wheat bread, with butter";14640054;26,74;25,8;2,591;11,79;0,268;20,2;4,96;0,221;38,16;5,077;2,641;9,395;19,42;584;0,109;1,98;42;367;207;782;1,51;187;0,264;1,52;9,3
"620";"Grilled cheese sandwich";"Grilled cheese sandwich, American cheese, on wheat bread";14640110;26,74;25,2;2,591;11,79;0,268;20,2;4,96;0,179;38,16;5,077;2,641;9,395;19,42;584;0,109;1,98;42;367;207;782;1,51;187;0,262;1,52;9,3
"621";"Grilled cheese sandwich";"Grilled cheese sandwich, American cheese, on whole wheat bread";14640115;26,74;25,2;2,591;11,79;0,268;20,2;4,96;0,179;38,16;5,077;2,641;9,395;19,42;584;0,109;1,98;42;367;207;782;1,51;187;0,262;1,52;9,3
"622";"Cheese sandwich";"Cheese sandwich, American cheese, on wheat bread, with mayonnaise";14640028;26,77;28,1;2,587;11,84;0,267;20,4;5,02;0,221;38,04;4,418;6,562;6,467;19,44;582;0,111;2;42;367;207;779;1,52;100;0,129;0,88;23,6
"623";"Cheese sandwich";"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise";14640030;26,77;28,1;2,587;11,84;0,267;20,4;5,02;0,221;38,04;4,418;6,562;6,467;19,44;582;0,111;2;42;367;207;779;1,52;100;0,129;0,88;23,6
"624";"Pistachio nuts";"Pistachio nuts, salted";42114140;27,16;68,6;1,319;20,22;0,225;9,6;7,43;0,667;1,78;24,806;14,041;5,828;46,98;103;1,242;3,88;105;450;967;389;2,25;12;1,078;2,43;16,2
"625";"Bologna and cheese sandwich";"Bologna and cheese sandwich, with spread";27560120;27,18;31,3;3,084;10,93;0,256;18,6;4,56;0,264;42,31;4,85;3,988;5,761;15,96;464;0,075;2,14;25;292;205;895;1,22;66;0,121;0,58;7,6
"626";"Pistachio nuts";"Pistachio nuts, lightly salted";42114142;27,3;68,9;1,325;20,32;0,226;9,7;7,47;0,671;1,79;24,93;14,111;5,857;47,21;104;1,248;3,9;105;453;972;198;2,26;13;1,083;2,44;16,3
"627";"Pistachio nuts";"Pistachio nuts, unsalted";42114145;27,43;69,3;1,332;20,42;0,227;9,7;7,51;0,674;1,79;25,054;14,181;5,886;47,44;104;1,254;3,91;106;455;977;6;2,27;13;1,088;2,46;16,3
"628";"Cornmeal coconut dessert";"Cornmeal coconut dessert, Puerto Rican style";58118210;27,66;8,2;1,161;2,82;0,045;6,6;16,3;0,073;47,78;0,91;0,323;18,009;20,54;14;0,236;1,94;35;97;241;219;0,65;1;0,047;0,14;0,1
"629";"Pistachio nuts";"Pistachio nuts, NFS";42114130;28,28;71,4;1,373;21,05;0,234;10;7,74;0,695;1,85;24,534;13,346;5,645;45,82;107;1,293;4,03;109;469;1007;6;2,34;13;1,122;2,17;13,2
"630";"Bacon bits";"Bacon bits";41810250;28,6;134,8;1,6;32;0,07;7,4;0;0,6;8;6,225;13,548;4,055;25,9;101;0,539;0,72;95;217;145;1770;1,87;0;0,08;6,9;0
"631";"Cheese sandwich";"Cheese sandwich, American cheese, on white bread, with butter";14640050;28,7;22,4;2,527;10,77;0,282;17,9;5,03;0,277;37,52;5,11;2,798;9,447;19,22;610;0,074;2,08;26;339;170;790;1,26;187;0,229;1,46;6,5
"632";"Grilled cheese sandwich";"Grilled cheese sandwich, NFS";14640100;28,7;21,7;2,527;10,77;0,282;17,9;5,03;0,224;37,52;5,11;2,798;9,447;19,22;610;0,074;2,08;26;339;170;790;1,26;187;0,226;1,46;6,5
"633";"Grilled cheese sandwich";"Grilled cheese sandwich, American cheese, on white bread";14640105;28,7;21,7;2,527;10,77;0,282;17,9;5,03;0,224;37,52;5,11;2,798;9,447;19,22;610;0,074;2,08;26;339;170;790;1,26;187;0,226;1,46;6,5
"634";"Cheese sandwich";"Cheese sandwich, American cheese, on white bread, with mayonnaise";14640026;28,72;24,6;2,524;10,82;0,28;18,1;5,09;0,278;37,4;4,451;6,719;6,519;19,24;608;0,076;2,11;26;339;170;786;1,27;100;0,093;0,81;20,9
"635";"Flax seeds";"Flax seeds";43104000;28,88;78,7;3,08;18,29;0,161;25,4;1,55;1,644;6,96;7,527;28,73;3,663;42,16;255;1,22;5,73;392;642;813;30;4,34;0;0,473;0,31;4,3
"636";"Chia seeds";"Chia seeds";43108010;28,88;78,7;3,08;18,29;0,161;25,4;1,55;1,644;6,96;7,527;28,73;3,663;42,16;255;1,22;5,73;392;642;813;30;4,34;0;0,473;0,31;4,3
"637";"Nutritional powder mix";"Nutritional powder mix, protein, soy based, NFS";95230010;28,89;312,9;2,357;55,56;0,164;1,3;22,22;0,288;4,13;1,057;2,701;1,111;5,56;178;2,62;12;64;1272;933;733;6,6;0;0,164;0;0
"638";"Falafel";"Falafel";41209000;29,01;37,5;0,76;8,24;0,102;2,4;4,52;0,128;18,74;16,821;17,008;5,548;41,16;86;0,177;2,26;31;112;257;499;1,02;12;0,158;4,92;79
"639";"Nutritional powder mix (Isopure)";"Nutritional powder mix (Isopure)";95201600;29,07;225;11,628;58,14;0,988;40,7;1,16;0,872;0,86;0,149;0,021;0,581;1,16;698;1,163;1,26;233;581;872;372;8,72;872;1,163;7,85;46,5
"640";"Peanuts";"Peanuts, honey roasted";42111500;30,02;54,9;12,202;20,7;0,17;8;16,14;0,129;1,54;23,51;9,543;6,975;45,25;49;0,365;1,35;151;309;539;349;2,36;0;0,396;4,54;3,5
"641";"Cheese sandwich";"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread";14640020;30,04;14,9;2,86;16,81;0,305;28,4;3,25;0,307;39,24;2,606;1,468;5,672;10,52;437;0,091;2,03;27;281;95;539;2,35;60;0,089;0,33;0,7
"642";"Soy nuts";"Soy nuts";41410010;30,22;124,3;1,41;38,55;0,145;19,1;4,2;0,1;1,95;5,61;14,339;3,674;25,4;138;0,828;3,9;145;363;1470;163;3,14;10;0,208;0,91;50,4
"643";"Cashew butter";"Cashew butter";42201000;30,3;48,3;1,108;12,12;0,159;9,3;9,09;0,158;2,34;26,709;13,371;10,606;53,03;61;1,758;4,91;206;388;447;295;4,43;0;0,203;5,08;30,3
"644";"Cheese sandwich";"Cheese sandwich, American cheese, on wheat bread, no spread";14640004;30,36;27,3;2,942;13,33;0,301;22,9;5,63;0,25;40,29;2,712;1,329;5,748;11,83;661;0,123;2,24;47;414;232;799;1,71;111;0,145;0,55;4,5
"645";"Cheese sandwich";"Cheese sandwich, American cheese, on whole wheat bread, no spread";14640006;30,36;27,3;2,942;13,33;0,301;22,9;5,63;0,25;40,29;2,712;1,329;5,748;11,83;661;0,123;2,24;47;414;232;799;1,71;111;0,145;0,55;4,5
"646";"Walnuts";"Walnuts, honey roasted";42116100;30,93;26,4;0,757;10,25;0,105;3,4;23,5;0,23;2,75;10,161;35,839;5,479;53,87;67;1,069;1,99;106;233;297;385;2,08;1;0,362;1,63;13,5
"647";"Pecans";"Pecans, honey roasted";42112300;31,03;27,3;0,786;6,17;0,092;2,7;24,41;0,444;2,38;31,617;18,63;5,515;58,43;48;0,809;1,73;82;186;277;383;3,05;2;0,141;2,1;14
"648";"Cashews";"Cashews, salted";42104100;31,4;58,6;1,345;14,7;0,192;11,2;4,81;0,192;1,64;27,479;8,749;9,201;47,48;44;2,132;5,77;250;471;543;399;5,38;0;0,246;1,23;36,8
"649";"Cashews";"Cashews, lightly salted";42104105;31,55;58,9;1,351;14,78;0,193;11,3;4,84;0,193;1,64;27,616;8,793;9,246;47,72;44;2,143;5,8;251;473;545;208;5,4;0;0,247;1,24;37
"650";"Popcorn";"Popcorn, movie theater, with added butter";54403005;31,65;13,3;0,845;4,96;0,077;4;0,29;0,071;1,6;11,656;8,451;35,476;58,78;8;0,121;1,55;59;137;124;756;1,45;174;0,115;1,91;4,2
"651";"Cashews";"Cashews, unsalted";42104110;31,71;59,2;1,358;14,85;0,194;11,3;4,86;0,194;1,65;27,754;8,837;9,293;47,96;44;2,153;5,82;252;475;548;16;5,43;0;0,248;1,24;37,2
"652";"Sugared pecans";"Sugared pecans, sugar and egg white coating";91728500;31,77;27,5;0,76;7,29;0,129;4,7;25,12;0,38;11,02;27,639;14,642;4,186;48,84;48;0,817;1,73;83;189;294;17;3,07;2;0,136;0,95;2,4
"653";"Russian dressing";"Russian dressing";83109000;31,9;4,6;0,594;0,69;0,046;1,6;17,68;0,029;38,53;5,928;14,83;2,39;26,18;13;0,058;0,6;10;20;173;1133;0,22;29;0,097;3,32;53,7
"654";"Cheese sandwich";"Cheese sandwich, NFS";14640000;32,58;23,3;2,87;12,17;0,316;20,3;5,71;0,315;39,56;2,75;1,508;5,807;11,61;690;0,084;2,37;30;383;190;807;1,43;111;0,105;0,48;1,4
"655";"Cheese sandwich";"Cheese sandwich, American cheese, on white bread, no spread";14640002;32,58;23,3;2,87;12,17;0,316;20,3;5,71;0,315;39,56;2,75;1,508;5,807;11,61;690;0,084;2,37;30;383;190;807;1,43;111;0,105;0,48;1,4
"656";"Cashews";"Cashews, NFS";42104000;32,69;61;1,4;15,31;0,2;11,7;5,01;0,2;1,7;27,317;7,836;9,157;46,35;45;2,22;6;260;490;565;16;5,6;0;0,256;0,92;34,7
"657";"Cashews";"Cashews, unroasted";42104050;32,69;61;1,4;15,31;0,2;11,7;5,01;0,2;1,7;27,317;7,836;9,157;46,35;45;2,22;6;260;490;565;16;5,6;0;0,256;0,92;34,7
"658";"Almonds";"Almonds, chocolate covered";91701010;32,9;50,3;2,648;17,1;0,886;4,2;18,5;0,177;3,54;24,242;9,043;8,214;43,85;245;0,869;3,3;208;399;625;24;2,87;18;0,107;18,09;1,7
"659";"Mixed nuts";"Mixed nuts, honey roasted";42110300;33,21;43,4;6,136;15,35;0,256;57,3;20,34;0,169;1,65;24,055;12,477;6,573;46,56;73;0,747;2,18;154;304;472;388;2,51;0;0,289;6,33;14,4
"660";"Textured vegetable protein";"Textured vegetable protein, dry";41440000;33,92;11,3;2,612;51,46;0,253;1,7;16,42;0,698;7,25;0,208;0,533;0,136;1,22;241;4,065;9,24;290;674;2384;20;2,46;2;0,574;0,12;4,1
"661";"Kishke";"Kishke, stuffed derma";58122250;35,1;31,7;2,313;4,72;0,197;14,8;1,1;0,28;25,84;13,654;1,486;16,297;33,02;13;0,073;2,06;12;53;82;401;0,34;0;0,044;0,91;0,5
"662";"Peanut butter";"Peanut butter, reduced fat";42202150;35,65;63,4;14,6;25,9;0,06;7,5;9,28;0,27;1,2;16,156;9,182;5,76;34;35;0,58;1,9;170;369;669;540;2,8;0;0,31;9,04;0,6
"663";"Almonds";"Almonds, honey roasted";42101350;35,84;35,1;2,449;14,11;0,81;1,5;25,01;0,052;1,63;26,416;12,8;4,109;45,34;181;0,741;2,54;188;317;481;385;2,23;0;0,092;17,25;11,7
"664";"Brioche";"Brioche";51167000;35,84;71,7;2,777;8,76;0,376;22,9;3,01;0,413;26,41;7,886;1,547;15,723;26,82;45;0,09;2,45;15;125;120;440;0,8;243;0,083;0,97;2,3
"665";"Ice cream bar";"Ice cream bar, vanilla";13120050;37,12;45;0,548;2,11;0,069;4;21,05;0,043;35,48;1,173;2,208;17,895;25,26;63;0,031;0;11;57;71;84;0,32;35;0,106;2,25;22,3
"666";"Nuts";"Nuts, carob-coated";91703500;37,56;35,6;4,441;15,81;0,407;5,4;19,32;0,261;3,5;14,236;7,119;17,029;40,47;242;0,635;2,72;128;277;676;58;3,36;0;0,186;9,28;3,8
"667";"Dietetic or low calorie candy";"Dietetic or low calorie candy, chocolate covered";91770030;37,68;50,1;2,26;12,39;0,48;4,9;14,63;0,2;4;10,884;4,349;21,723;43,27;285;0,85;1,45;129;332;606;111;2,47;55;0,18;2,61;7,5
"668";"Nutrition bar (South Beach Living High Protein Bar)";"Nutrition bar (South Beach Living High Protein Bar)";53720610;38,4;108,2;1,268;30,34;0,437;9;15,17;0,176;12,16;4,29;5,326;3,384;15,17;322;0,846;5,4;71;445;793;436;2,39;391;0,226;4,61;350,6
"669";"Milk";"Milk, dry, not reconstituted, whole";11811000;38,42;119,3;0,646;26,32;1,205;16,3;38,42;0,283;2,47;7,924;0,665;16,742;26,71;912;0,08;0,47;85;776;1330;371;3,34;258;0,302;0,58;2,2
"670";"Popcorn";"Popcorn, movie theater, unbuttered";54403006;39,87;11,1;1,064;6,18;0,096;5;0,37;0,089;1,95;7,36;9,705;28,908;48,7;8;0,152;1,95;74;172;155;762;1,82;5;0,144;1,69;3,1
"671";"Cheese";"Cheese, Parmesan, dry grated, fat free";14108060;40;15,4;0,2;40;0,05;43,3;1,5;0,05;8,6;1,446;0,186;3,11;5;800;0,02;5;40;700;600;1150;3;40;0,1;0,04;0,4
"672";"Coleslaw dressing";"Coleslaw dressing, light";83201400;40;15,3;0,25;0;0,01;1,6;38,73;0,01;37;8,6;7,52;2,98;20;36;0;0,26;5;30;50;1600;0,18;0;0,02;1,84;39,5
"673";"Nutritional powder mix";"Nutritional powder mix, sugar free (Carnation Instant Breakfast)";95201010;41;266,9;25,6;35,8;0,35;21,8;39;1,5;7,4;1,189;1,027;2,162;5,1;500;2,6;2,3;410;500;1705;717;15,4;2686;2;16,88;120
"674";"Yeast";"Yeast";75236000;41,22;32;40,2;40,44;4;7,9;0;10,99;5,08;4,309;0,017;1,001;7,61;30;0,436;2,17;54;637;955;51;7,94;0;1,5;0;0,4
"675";"Nuts";"Nuts, chocolate covered, not almonds or peanuts";91727010;42,05;49,7;0,993;11,39;0,227;5,8;28,09;0,267;2,5;21,835;4,627;12,66;41,6;134;1,232;3,85;137;299;497;44;3,16;30;0,223;4,24;15,1
"676";"Peanuts";"Peanuts, yogurt covered";91731150;42,43;37,3;5,514;14,84;0,204;5,8;36,42;0,323;3,98;11,281;7,289;16,083;37,01;154;0,519;2,14;86;256;477;56;1,86;1;0,187;4,36;5,2
"677";"Peanut butter and chocolate spread";"Peanut butter and chocolate spread";42203100;42,75;35;6,71;11,8;0,104;2,4;34,1;0,076;9,09;17,21;7,263;7,813;34,35;28;0,31;1,58;95;209;380;306;1,42;0;0,224;5,34;0,2
"678";"Cashews";"Cashews, honey roasted";42104500;43,7;41,1;0,943;10,31;0,139;8;25,11;0,135;1,15;22,538;9,354;7,519;41,18;31;1,496;4,07;175;330;381;394;3,77;0;0,172;1,78;35
"679";"Bread";"Bread, white, special formula, added fiber";51122300;43,91;8,1;4,455;10,66;0,255;16,1;5;0,51;39,6;0,393;0,973;0,63;2,15;684;0,149;4,89;26;103;127;478;0,95;0;0,08;0,38;7,7
"680";"Bread";"Bread, whole grain white";51300050;43,91;8,1;4,455;10,66;0,255;16,1;5;0,51;39,6;0,393;0,973;0,63;2,15;684;0,149;4,89;26;103;127;478;0,95;0;0,08;0,38;7,7
"681";"Nutritional powder mix (EAS Soy Protein Powder)";"Nutritional powder mix (EAS Soy Protein Powder)";95201300;43,94;113,7;0,817;47,62;0,057;0,7;40,48;0,1;2,83;0,644;1,956;0;3,57;95;1,001;6,43;22;441;714;452;2,29;0;0,057;0,12;2,7
"682";"Hoisin sauce";"Hoisin sauce";41420250;44,08;8;1,17;3,31;0,217;1,8;27,26;0,004;44,23;0,963;1,698;0,568;3,39;32;0,128;1,01;24;38;119;1615;0,32;0;0,062;0,28;0,5
"683";"Cereal or granola bar (KIND Fruit and Nut Bar)";"Cereal or granola bar (KIND Fruit and Nut Bar)";53710810;44,3;37,4;3,056;13,69;0,462;6,2;22,56;0,188;7,86;19,004;7,487;3,834;31,89;115;0,943;3,09;167;315;460;45;2,66;0;0,18;10,2;7,7
"684";"Cereal or granola bar";"Cereal or granola bar, fruit and nut";53713010;44,3;37,4;3,056;13,69;0,462;6,2;22,56;0,188;7,86;19,004;7,487;3,834;31,89;115;0,943;3,09;167;315;460;45;2,66;0;0,18;10,2;7,7
"685";"Almonds";"Almonds, yogurt-covered";91701030;44,86;37,1;1,713;12,75;0,656;4,4;36,26;0,127;3,04;14,487;5,836;14,968;37,32;234;0,468;1,75;131;303;489;49;1,79;1;0,092;12,14;5,2
"686";"Nutrition bar (Zone Perfect Classic Crunch)";"Nutrition bar (Zone Perfect Classic Crunch)";53720800;45;73;20;30;1,7;3,9;27;0,75;7;3,828;4,804;4,499;14;200;0,774;3,6;80;300;250;444;7,5;1050;2;24;1,6
"687";"Nutrition bar or meal replacement bar";"Nutrition bar or meal replacement bar, NFS";53729000;45;73;20;30;1,7;3,9;27;0,75;7;3,828;4,804;4,499;14;200;0,774;3,6;80;300;250;444;7,5;1050;2;24;1,6
"688";"Cake";"Cake, pound, Puerto Rican style";53116350;45,16;89,5;1,24;6,96;0,267;18,8;27,84;0,155;17,73;7,889;1,711;17,266;29,1;31;0,06;1,68;10;101;80;252;0,64;270;0,066;1,1;2,4
"689";"Pastry";"Pastry, puff";53452400;45,7;6,2;3,8;7,4;0,258;24,5;0,75;0,323;7,4;8,828;22,228;5,502;38,5;10;0,115;2,6;16;60;62;253;0,54;0;0,019;0,55;16,3
"690";"Wasabi paste";"Wasabi paste";75534550;46,13;2,3;0,16;2,23;0,07;2,2;13,2;0,05;31,7;4,41;3,627;2,031;10,9;41;0,055;0,5;21;26;182;3390;0,61;0;0,05;3,91;3,5
"691";"Coconut cream cake";"Coconut cream cake, Puerto Rican style";91550100;47,27;53,9;0,385;2,41;0,046;7,8;45,97;0,023;34,97;1,421;0,455;11,941;14,79;19;0,153;1,1;20;82;149;13;0,54;29;0,042;0,27;0,1
"692";"Vegetable mixture";"Vegetable mixture, dried";75365000;47,79;87,1;6,568;17,37;0,61;13;19,81;0,515;20,23;1,586;5,304;1,194;8,82;234;0,692;6,06;150;399;1607;360;3,27;988;0,92;5,95;222,7
"693";"Almond paste";"Almond paste";42200600;47,81;28,5;1,422;9;0,414;4,2;36,25;0,082;14,08;18,012;5,821;2,629;27,74;172;0,454;1,6;130;258;314;9;1,48;0;0,036;13,54;0
"694";"Bread";"Bread, white, special formula, added fiber, toasted";51122310;48,25;8,9;4,896;11,71;0,28;17,7;5,5;0,448;33,63;0,432;1,069;0,692;2,36;752;0,164;5,37;29;113;140;525;1,04;0;0,088;0,42;8,5
"695";"Bread";"Bread, whole grain white, toasted";51300060;48,25;8,9;4,896;11,71;0,28;17,7;5,5;0,448;33,63;0,432;1,069;0,692;2,36;752;0,164;5,37;29;113;140;525;1,04;0;0,088;0,42;8,5
"696";"Muffin";"Muffin, oat bran";52304150;48,3;6,6;0,42;7;0,095;11;8,22;0,262;35;1,695;4,129;1,087;7,4;63;0,33;4,2;157;376;507;393;1,84;0;0,161;0,66;13
"697";"Caramel dip";"Caramel dip, regular";91306020;48,47;8,4;0,006;1,16;0,005;1,3;48,46;0,001;36,96;3,153;0,456;7,705;12,17;45;0;0;5;37;60;386;0,01;119;0;0,39;1
"698";"Honey butter";"Honey butter";81322000;48,5;9;0,088;0,53;0,036;0,9;48,33;0,002;16,72;8,656;1,253;21,152;33,4;13;0,021;0,26;2;12;40;267;0,17;282;0,015;0,96;2,9
"699";"Nutrition bar (Balance Original Bar)";"Nutrition bar (Balance Original Bar)";53720100;48,73;91,2;8,991;28;1,708;23,3;34,89;1,628;7,76;8,115;1,969;1,149;12;543;0,771;10,9;119;465;678;253;3,52;1496;0,89;5,84;1,3
